ID,Address,District,Price,Date,Area_sqm,Bedrooms
1,"Prinsens gate 88, 0151 Oslo",Nordre Aker,8258145,2022-05-07,78,3
2,"Briskebyveien 131, 0105 Oslo",Gryland,4394735,2022-06-15,208,6
3,"Borgundsdalsveien 115, 0152 Oslo",Bjerke,10173309,2024-03-09,73,1
4,"Akershusveien 110, 0103 Oslo",Søndre Aker,7949366,2023-11-25,194,2
5,"Kirkegata 46, 0104 Oslo",Grünerløkka,16163256,2022-09-14,248,2
6,"Bygdøyveien 121, 0153 Oslo",Bjerke,4578030,2022-03-28,144,4
7,"Bjølsens gate 131, 0250 Oslo",St Hanshaugen,8419040,2023-10-19,49,4
8,"Schweigaards gate 142, 0102 Oslo",Nordre Aker,5542200,2024-08-27,69,1
9,"Schweigaards gate 197, 0153 Oslo",St Hanshaugen,9555804,2022-12-21,90,5
10,"Voksenåsveien 83, 0101 Oslo",Bjerke,3755473,2024-02-03,155,6
11,"St Olavs plass 107, 0101 Oslo",Gryland,6488560,2023-12-08,110,1
12,"Slemdalsveien 199, 0152 Oslo",Sentrum,16754689,2024-05-23,102,2
13,"Gabels gate 6, 0104 Oslo",Groruddal,5631861,2023-05-23,190,6
14,"Hoffsveien 31, 0252 Oslo",Gryland,6579834,2021-08-09,180,5
15,"Bygdøynesveien 66, 0250 Oslo",Nordre Aker,4025363,2024-07-25,76,2
16,"Akershusveien 81, 0251 Oslo",Ullern,5199162,2021-02-16,85,4
17,"Akershus Festning 10, 0250 Oslo",Grünerløkka,9107962,2024-05-10,70,3
18,"Bjølsens gate 49, 0101 Oslo",Rodeløkka,10015047,2024-06-01,94,3
19,"Grensen 7, 0101 Oslo",Sentrum,21943946,2024-05-03,180,4
20,"Gabels gate 136, 0252 Oslo",Tøyen,10640320,2023-06-04,78,1
21,"Øvre Slottsgate 56, 0252 Oslo",St Hanshaugen,11417206,2024-06-08,63,2
22,"Odins gate 149, 0152 Oslo",Bjerke,6281786,2024-08-03,107,4
23,"Odins gate 101, 0152 Oslo",Grevling,7806636,2023-08-03,101,4
24,"Thorvald Meyers gate 162, 0104 Oslo",Lambertseter,4102693,2024-10-25,83,3
25,"Bygdøy Allé 59, 0150 Oslo",Gryland,4759724,2024-01-11,174,5
26,"Drammensveien 174, 0101 Oslo",Nordstrand,6409867,2024-06-06,67,3
27,"Arendalsgata 108, 0152 Oslo",Grünerløkka,11382940,2022-02-28,250,3
28,"Arendalsgata 27, 0150 Oslo",Støren,8145986,2024-11-22,126,6
29,"Borgundsdalsveien 45, 0101 Oslo",Støren,6245638,2024-07-13,50,4
30,"Universitetsgata 71, 0103 Oslo",Nordre Aker,7013784,2024-08-09,57,4
31,"Thorvald Meyers gate 62, 0101 Oslo",Lambertseter,8688230,2024-09-08,192,2
32,"Markveien 148, 0151 Oslo",Groruddal,7137110,2020-08-04,135,6
33,"Dronningens gate 185, 0251 Oslo",Nordstrand,8626990,2021-04-10,171,3
34,"Øvre Slottsgate 192, 0251 Oslo",Frogner,14659571,2022-05-07,106,2
35,"Akershusveien 155, 0105 Oslo",Tøyen,8314888,2022-06-05,243,6
36,"Prinsens gate 49, 0104 Oslo",Rodeløkka,6564798,2024-04-09,97,2
37,"Hoffsveien 133, 0105 Oslo",Bjerke,7864258,2023-07-08,150,2
38,"Bygdøyveien 54, 0151 Oslo",Lambertseter,5333682,2022-07-08,79,3
39,"Markveien 62, 0105 Oslo",Nordre Aker,5256593,2023-10-15,103,5
40,"Niels Juels gate 3, 0104 Oslo",Lambertseter,5944472,2024-12-11,159,3
41,"St Olavs plass 123, 0152 Oslo",Rodeløkka,3638213,2024-05-13,116,2
42,"Thorvald Meyers gate 31, 0252 Oslo",Frogner,16097893,2024-09-22,108,3
43,"Akershusveien 38, 0152 Oslo",Gryland,9911309,2023-10-17,134,3
44,"Frognerveien 54, 0153 Oslo",St Hanshaugen,7313775,2024-05-26,69,3
45,"Dronningens gate 101, 0102 Oslo",Gryland,7319425,2024-09-27,157,6
46,"Gabels gate 134, 0102 Oslo",Søndre Aker,4743693,2024-11-27,45,3
47,"Gabels gate 110, 0104 Oslo",Østensjø,8008521,2023-12-21,162,6
48,"St Olavs plass 137, 0105 Oslo",Rodeløkka,3574154,2021-01-01,146,5
49,"Grensen 166, 0104 Oslo",Grünerløkka,5058768,2024-04-22,65,3
50,"Drammensveien 56, 0102 Oslo",Frogner,13494954,2022-05-12,238,6
51,"Kirkegata 33, 0101 Oslo",Frogner,10627444,2024-08-28,82,3
52,"Akershus Festning 70, 0151 Oslo",Nordre Aker,5385920,2024-04-04,105,4
53,"Dronningens gate 109, 0153 Oslo",Gryland,5349240,2023-05-22,136,6
54,"Karl Johans gate 103, 0151 Oslo",Frogner,18952821,2024-09-09,204,5
55,"Akershusveien 78, 0153 Oslo",Sagene,8451442,2023-11-26,51,3
56,"Hoffsveien 43, 0152 Oslo",Tøyen,10074240,2023-04-06,112,3
57,"Karl Johans gate 77, 0153 Oslo",Manglerud,6615799,2021-03-16,214,2
58,"Øvre Slottsgate 189, 0154 Oslo",Bjerke,6108094,2023-02-15,216,2
59,"Niels Juels gate 61, 0152 Oslo",Søndre Aker,8630814,2022-02-21,43,3
60,"Akershus Festning 144, 0150 Oslo",Nordstrand,6627628,2022-05-17,59,1
61,"Øvre Slottsgate 126, 0151 Oslo",Alna,4908528,2024-11-12,140,3
62,"Arendalsgata 155, 0152 Oslo",Østensjø,6057257,2020-10-19,156,6
